id,supermarket,category,name,price,reference_price,reference_unit,insert_date
253590,mercadona-es,perfume_y_colonia,Eau de toilette hombre Bustamante Muy mío Sport,6.95,6.95,100 ml,2020-07-21 16:06:00
253591,mercadona-es,perfume_y_colonia,Eau de toilette hombre Springfield,12.9,6.45,100 ml,2020-07-21 16:06:00
253592,mercadona-es,perfume_y_colonia,Eau de toilette hombre Gesto,5.5,5.5,100 ml,2020-07-21 16:06:00
253593,mercadona-es,perfume_y_colonia,Eau de toilette hombre Ikiru,8,8,100 ml,2020-07-21 16:06:00
253594,mercadona-es,perfume_y_colonia,Eau de toilette hombre Sesgo,9,9,100 ml,2020-07-21 16:06:00
253595,mercadona-es,perfume_y_colonia,Eau de toilette hombre Como tú Aventura,7,7,100 ml,2020-07-21 16:06:00
253596,mercadona-es,perfume_y_colonia,Eau de toilette hombre Victorio & Lucchino Nº 3 Seducción magnética,9.9,6.6,100 ml,2020-07-21 16:06:00
253597,mercadona-es,perfume_y_colonia,Eau de toilette hombre Codizia,9,9,100 ml,2020-07-21 16:06:00
253598,mercadona-es,perfume_y_colonia,Eau de toilette hombre Manuel Carrasco Libre,7.95,7.95,100 ml,2020-07-21 16:06:00
253599,mercadona-es,perfume_y_colonia,Eau de toilette hombre Como tú Triunfo,7,7,100 ml,2020-07-21 16:06:00
253600,mercadona-es,perfume_y_colonia,Eau de cologne hombre Brummel,9.95,3.98,100 ml,2020-07-21 16:06:00
253601,mercadona-es,perfume_y_colonia,Eau de toilette hombre Don Algodon,13.15,6.58,100 ml,2020-07-21 16:06:00
253602,mercadona-es,perfume_y_colonia,Eau de toilette hombre Adolfo Dominguez Bambú,15.95,26.58,100 ml,2020-07-21 16:06:00
253603,mercadona-es,perfume_y_colonia,Eau de toilette hombre Complicity,8,8,100 ml,2020-07-21 16:06:00
253604,mercadona-es,perfume_y_colonia,Eau de toilette hombre Desafío Sport,7,9.33,100 ml,2020-07-21 16:06:00
253605,mercadona-es,perfume_y_colonia,Eau de toilette hombre Victorio & Lucchino Nº 1 Vitalidad salvaje,9.9,6.6,100 ml,2020-07-21 16:06:00
253606,mercadona-es,perfume_y_colonia,Eau de toilette hombre Pacha Ibiza Psicodelic,6,12,100 ml,2020-07-21 16:06:00
253607,mercadona-es,perfume_y_colonia,Eau de toilette hombre Sport Man Go for it,12.95,5.18,100 ml,2020-07-21 16:06:00
253608,mercadona-es,perfume_y_colonia,Eau de toilette hombre Adolfo Dominguez Agua fresca,17.95,29.92,100 ml,2020-07-21 16:06:00
253609,mercadona-es,perfume_y_colonia,Eau de toilette hombre Antonio Banderas Blue seduction,20.5,10.25,100 ml,2020-07-21 16:06:00
253610,mercadona-es,perfume_y_colonia,Eau de toilette hombre Pacha Ibiza Clandestine,6.95,13.9,100 ml,2020-07-21 16:06:00
253611,mercadona-es,perfume_y_colonia,Eau de toilette hombre Antonio Banderas The golden secret,18.95,9.48,100 ml,2020-07-21 16:06:00
253612,mercadona-es,perfume_y_colonia,Eau de toilette hombre Limite Action Water,5.9,5.9,100 ml,2020-07-21 16:06:00
253613,mercadona-es,perfume_y_colonia,Eau de toilette hombre Playboy Play it wild,7,11.67,100 ml,2020-07-21 16:06:00
253614,mercadona-es,perfume_y_colonia,Eau de cologne hombre Agua Brava,17.95,17.95,100 ml,2020-07-21 16:06:00
253615,mercadona-es,perfume_y_colonia,Eau de toilette hombre Adolfo Dominguez Agua de bambú,15.95,26.58,100 ml,2020-07-21 16:06:00
253616,mercadona-es,perfume_y_colonia,Eau de toilette hombre Enrique Iglesias Adrenaline,10,20,100 ml,2020-07-21 16:06:00
253617,mercadona-es,perfume_y_colonia,Eau de toilette hombre Playboy King of the game,7,11.67,100 ml,2020-07-21 16:06:00
253618,mercadona-es,perfume_y_colonia,Eau de toilette hombre Playboy Generation,6.5,10.83,100 ml,2020-07-21 16:06:00
253619,mercadona-es,perfume_y_colonia,Eau de toilette hombre Pacha Ibiza 24/7,11.95,11.95,100 ml,2020-07-21 16:06:00
253620,mercadona-es,perfume_y_colonia,Eau de parfum hombre Él,9,9,100 ml,2020-07-21 16:06:00
253621,mercadona-es,perfume_y_colonia,Mini eau de parfum hombre Flor de Mayo Mistery,1.5,6,100 ml,2020-07-21 16:06:00
253622,mercadona-es,perfume_y_colonia,Eau de toilette hombre Adidas Victory edition,6.5,13,100 ml,2020-07-21 16:06:00
253623,mercadona-es,perfume_y_colonia,Eau de toilette hombre Alejandro Sanz Mi acorde,12.95,12.95,100 ml,2020-07-21 16:06:00
253624,mercadona-es,perfume_y_colonia,Eau de toilette hombre Misty Wood Esencia vital,3.8,3.8,100 ml,2020-07-21 16:06:00
253625,mercadona-es,perfume_y_colonia,Eau de toilette hombre Misty Wood Bosque místico,3.8,3.8,100 ml,2020-07-21 16:06:00
253626,mercadona-es,perfume_y_colonia,Eau de toilette hombre Adidas Dare edition,6.5,13,100 ml,2020-07-21 16:06:00
253627,mercadona-es,perfume_y_colonia,Eau de toilette hombre Capítulo Marino,6.5,3.25,100 ml,2020-07-21 16:06:00
253628,mercadona-es,perfume_y_colonia,Eau de parfum hombre My Soul for him,12,12,100 ml,2020-07-21 16:06:00
253629,mercadona-es,perfume_y_colonia,Eau de toilette hombre Criterio Ego,9,9,100 ml,2020-07-21 16:06:00
253630,mercadona-es,perfume_y_colonia,Mini eau de parfum hombre Flor de Mayo Mr. Perfect,1.5,8.33,100 ml,2020-07-21 16:06:00
253631,mercadona-es,perfume_y_colonia,Mini eau de parfum hombre Flor de Mayo Silver dream,1.5,8.33,100 ml,2020-07-21 16:06:00
253632,mercadona-es,perfume_y_colonia,Lote hombre Don Algodon,10.5,10.5,ud,2020-07-21 16:06:00
253633,mercadona-es,perfume_y_colonia,Lote hombre Misty Wood Esencia vital,4.8,4.8,ud,2020-07-21 16:06:00
253634,mercadona-es,perfume_y_colonia,Lote hombre Extra Time,7.15,7.15,ud,2020-07-21 16:06:00
253635,mercadona-es,perfume_y_colonia,Lote hombre Ikiru,9.5,9.5,ud,2020-07-21 16:06:00
253636,mercadona-es,perfume_y_colonia,Lote hombre Enciende,9,9,ud,2020-07-21 16:06:00
253637,mercadona-es,perfume_y_colonia,Lote hombre Sesgo,10.5,10.5,ud,2020-07-21 16:06:00
253638,mercadona-es,perfume_y_colonia,Lote hombre Adolfo Dominguez Agua fresca,32.95,32.95,ud,2020-07-21 16:06:00
253639,mercadona-es,perfume_y_colonia,Lote hombre Adolfo Dominguez Bambú,30,30,ud,2020-07-21 16:06:00
253640,mercadona-es,perfume_y_colonia,Lote hombre Criterio Ego,10.5,10.5,ud,2020-07-21 16:06:00
253641,mercadona-es,perfume_y_colonia,Lote hombre Alejandro Sanz Mi acorde,13.95,13.95,ud,2020-07-21 16:06:00
253642,mercadona-es,perfume_y_colonia,Lote hombre Blue Shine,15,15,ud,2020-07-21 16:06:00
253643,mercadona-es,perfume_y_colonia,Lote hombre Crossmen,10,10,ud,2020-07-21 16:06:00
253644,mercadona-es,perfume_y_colonia,Lote hombre Antonio Banderas The secret,13.5,13.5,ud,2020-07-21 16:06:00
253645,mercadona-es,perfume_y_colonia,Lote hombre Jacq's,6.9,6.9,ud,2020-07-21 16:06:00
253646,mercadona-es,perfume_y_colonia,Lote hombre Adidas duplo,9.5,9.5,ud,2020-07-21 16:06:00
253647,mercadona-es,perfume_y_colonia,Lote hombre Adidas Ice dive,9.5,9.5,ud,2020-07-21 16:06:00
253648,mercadona-es,perfume_y_colonia,Lote hombre Brummel,9.3,9.3,ud,2020-07-21 16:06:00
253649,mercadona-es,perfume_y_colonia,Lote hombre Enrique Iglesias Adrenaline,14.95,14.95,ud,2020-07-21 16:06:00
253650,mercadona-es,perfume_y_colonia,Lote hombre Pacha Ibiza 24/7,9.95,9.95,ud,2020-07-21 16:06:00
253651,mercadona-es,perfume_y_colonia,Lote hombre Antonio Banderas Power of Seduction,14.95,14.95,ud,2020-07-21 16:06:00
253652,mercadona-es,perfume_y_colonia,Lote hombre Springfield,12,12,ud,2020-07-21 16:06:00
253653,mercadona-es,perfume_y_colonia,Lote hombre Marc Márquez Hero sport,7.95,7.95,ud,2020-07-21 16:06:00
253654,mercadona-es,perfume_y_colonia,Lote hombre 102 Hotel Venezia,9,9,ud,2020-07-21 16:06:00
253655,mercadona-es,perfume_y_colonia,Lote hombre Como tú Fuerza,4,4,ud,2020-07-21 16:06:00
253656,mercadona-es,perfume_y_colonia,Lote hombre Él,11,11,ud,2020-07-21 16:06:00
253657,mercadona-es,perfume_y_colonia,Lote hombre Capítulo Marino,7.5,7.5,ud,2020-07-21 16:06:00
253658,mercadona-es,perfume_y_colonia,Lote hombre Flor de Mayo Mr. Perfect,5.8,5.8,ud,2020-07-21 16:06:00
253659,mercadona-es,perfume_y_colonia,Lote hombre 9.60 Acción,4.9,4.9,ud,2020-07-21 16:06:00
253660,mercadona-es,perfume_y_colonia,Lote hombre Bustamante Muy mío Night,7.95,7.95,ud,2020-07-21 16:06:00
253661,mercadona-es,perfume_y_colonia,Eau de toilette infantil Superman,4,2.67,100 ml,2020-07-21 16:06:00
253662,mercadona-es,perfume_y_colonia,Eau de toilette infantil Peppa Pig,3.75,2.5,100 ml,2020-07-21 16:06:00
253663,mercadona-es,perfume_y_colonia,Colonia corporal infantil Disney Minnie,4.95,2.48,100 ml,2020-07-21 16:06:00
253664,mercadona-es,perfume_y_colonia,Lote neceser infantil Marvel Capitain,11,11,ud,2020-07-21 16:06:00
